PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed,,,
69,2024-09-13,4,3,,,UCO_AVP,"Shpur, Caleb",Right,UCO_HUS,2,Bottom,1,1,1,Fastball,InPlay,Undefined,FlyBall,Sacrifice,1,1,85.3,,,
70,2024-09-13,5,1,,,UCO_AVP,"Biller, Sam",Left,UCO_HUS,2,Bottom,2,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
71,2024-09-13,5,2,,,UCO_AVP,"Biller, Sam",Left,UCO_HUS,2,Bottom,2,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
72,2024-09-13,5,3,,,UCO_AVP,"Biller, Sam",Left,UCO_HUS,2,Bottom,2,2,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
73,2024-09-13,5,4,,,UCO_AVP,"Biller, Sam",Left,UCO_HUS,2,Bottom,2,3,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,
74,2024-09-13,5,5,,,UCO_AVP,"Biller, Sam",Left,UCO_HUS,2,Bottom,2,3,1,Fastball,InPlay,Undefined,PopUp,Out,1,0,92.6,,,
75,2024-09-13,1,1,"Cooke, Ian",Right,UCO_HUS,,,UCO_AVP,3,Top,0,0,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,73.6,,,
76,2024-09-13,1,2,"Cooke, Ian",Right,UCO_HUS,,,UCO_AVP,3,Top,0,0,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,
77,2024-09-13,1,3,"Cooke, Ian",Right,UCO_HUS,,,UCO_AVP,3,Top,0,0,2,Slider,StrikeSwinging,Strikeout,Undefined,Out,1,0,,,,
78,2024-09-13,2,1,"Cooke, Ian",Right,UCO_HUS,,,UCO_AVP,3,Top,1,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
79,2024-09-13,2,2,"Cooke, Ian",Right,UCO_HUS,,,UCO_AVP,3,Top,1,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,
80,2024-09-13,2,3,"Cooke, Ian",Right,UCO_HUS,,,UCO_AVP,3,Top,1,1,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,
81,2024-09-13,2,4,"Cooke, Ian",Right,UCO_HUS,,,UCO_AVP,3,Top,1,2,1,Slider,InPlay,Undefined,GroundBall,Out,1,0,52.9,,,
82,2024-09-13,3,1,"Cooke, Ian",Right,UCO_HUS,,,UCO_AVP,3,Top,2,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
83,2024-09-13,3,2,"Cooke, Ian",Right,UCO_HUS,,,UCO_AVP,3,Top,2,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
84,2024-09-13,3,3,"Cooke, Ian",Right,UCO_HUS,,,UCO_AVP,3,Top,2,2,0,Fastball,InPlay,Undefined,LineDrive,Out,1,0,90.9,,,
