PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed,,,,,,,
99,2024-12-21,2,2,"Alejandro, Hector",Right,UCO_HUS,"Root, Beau",Left,UCO_HUS,2,Bottom,0,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
100,2024-12-22,2,3,"Alejandro, Hector",Right,UCO_HUS,"Root, Beau",Left,UCO_HUS,2,Bottom,0,2,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
101,2024-12-23,2,4,"Alejandro, Hector",Right,UCO_HUS,"Root, Beau",Left,UCO_HUS,2,Bottom,0,2,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
102,2024-12-24,2,5,"Alejandro, Hector",Right,UCO_HUS,"Root, Beau",Left,UCO_HUS,2,Bottom,0,2,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
103,2024-12-25,2,6,"Alejandro, Hector",Right,UCO_HUS,"Root, Beau",Left,UCO_HUS,2,Bottom,0,3,2,Slider,StrikeSwinging,Strikeout,Undefined,Out,1,0,,,,,,,,
104,2024-12-26,3,1,"Alejandro, Hector",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,2,Bottom,2,0,0,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
105,2024-12-27,3,2,"Alejandro, Hector",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,2,Bottom,0,0,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
106,2024-12-28,3,3,"Alejandro, Hector",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,2,Bottom,0,1,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
107,2024-12-29,3,4,"Alejandro, Hector",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,2,Bottom,0,1,2,Fastball,InPlay,Undefined,PopUp,Out,1,0,51.5,,,,,,,
108,2024-12-30,1,1,"Shaw, Greg",Right,UCO_HUS,"Padilla, Bryan",Right,UCO_HUS,3,Top,0,0,0,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
109,2024-12-31,1,2,"Shaw, Greg",Right,UCO_HUS,"Padilla, Bryan",Right,UCO_HUS,3,Top,0,0,1,Slider,InPlay,Undefined,LineDrive,Single,0,0,,,,,,,,
110,2025-01-01,2,1,"Shaw, Greg",Right,UCO_HUS,"Dougherty, Aidan",Right,UCO_HUS,3,Top,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
111,2025-01-02,2,2,"Shaw, Greg",Right,UCO_HUS,"Dougherty, Aidan",Right,UCO_HUS,3,Top,0,0,1,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
112,2025-01-03,2,3,"Shaw, Greg",Right,UCO_HUS,"Dougherty, Aidan",Right,UCO_HUS,3,Top,0,0,2,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,92,,,,,,,
