PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed
110,9/10/24,3,3,"Mach, Alex",Right,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,Undefined,3,Bottom,1,1,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
111,9/10/24,3,4,"Mach, Alex",Right,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,Undefined,3,Bottom,1,1,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
112,9/10/24,3,5,"Mach, Alex",Right,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,Undefined,3,Bottom,1,1,2,Fastball,InPlay,Undefined,LineDrive,Triple,0,1,95.3
113,9/10/24,4,1,"Mach, Alex",Right,UCO_HUS,"Root, Beau",Left,UCO_HUS,Undefined,3,Bottom,1,0,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,
114,9/10/24,4,2,"Mach, Alex",Right,UCO_HUS,"Root, Beau",Left,UCO_HUS,Undefined,3,Bottom,1,0,1,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
115,9/10/24,4,3,"Mach, Alex",Right,UCO_HUS,"Root, Beau",Left,UCO_HUS,Undefined,3,Bottom,1,0,2,Changeup,InPlay,Undefined,GroundBall,Error,0,1,45.8
116,9/10/24,5,1,"Mach, Alex",Right,UCO_HUS,"Lane, Connor",Right,UCO_HUS,Undefined,3,Bottom,1,0,0,Slider,StrikeSwinging,Undefined,Undefined,StolenBase,0,0,
117,9/10/24,5,2,"Mach, Alex",Right,UCO_HUS,"Lane, Connor",Right,UCO_HUS,Undefined,3,Bottom,1,0,1,Slider,InPlay,Undefined,FlyBall,Out,1,0,72.9
118,9/10/24,6,1,"Mach, Alex",Right,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,Undefined,3,Bottom,2,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
119,9/10/24,6,2,"Mach, Alex",Right,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,Undefined,3,Bottom,2,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
120,9/10/24,6,3,"Mach, Alex",Right,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,Undefined,3,Bottom,2,2,0,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
121,9/10/24,6,4,"Mach, Alex",Right,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,Undefined,3,Bottom,2,2,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,
122,9/10/24,6,5,"Mach, Alex",Right,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,Undefined,3,Bottom,2,2,2,Slider,InPlay,Undefined,LineDrive,Single,0,1,80.9
123,9/10/24,7,1,"Mach, Alex",Right,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,Undefined,3,Bottom,2,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,
124,9/10/24,7,2,"Mach, Alex",Right,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,Undefined,3,Bottom,2,1,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,
125,9/10/24,7,3,"Mach, Alex",Right,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,Undefined,3,Bottom,2,2,0,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
126,9/10/24,7,4,"Mach, Alex",Right,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,Undefined,3,Bottom,2,2,1,Changeup,InPlay,Undefined,GroundBall,Out,1,0,99.7
127,9/10/24,1,1,"Shaw, Greg",Right,UCO_HUS,"Suchy, Cayden",Left,UCO_HUS,Undefined,4,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
128,9/10/24,1,2,"Shaw, Greg",Right,UCO_HUS,"Suchy, Cayden",Left,UCO_HUS,Undefined,4,Top,0,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
129,9/10/24,1,3,"Shaw, Greg",Right,UCO_HUS,"Suchy, Cayden",Left,UCO_HUS,Undefined,4,Top,0,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
