PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed
98,9/12/24,3,3,"Norrell, Owen",Left,UCO_HUS,"Padilla, Bryan",Right,UCO_HUS,4,Top,2,1,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,
99,9/12/24,3,4,"Norrell, Owen",Left,UCO_HUS,"Padilla, Bryan",Right,UCO_HUS,4,Top,2,1,2,Slider,StrikeCalled,Strikeout,Undefined,Out,1,0,
100,9/12/24,1,1,"West, Charlie",Left,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,4,Bottom,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
101,9/12/24,1,2,"West, Charlie",Left,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,4,Bottom,0,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
102,9/12/24,1,3,"West, Charlie",Left,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,4,Bottom,0,2,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
103,9/12/24,1,4,"West, Charlie",Left,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,4,Bottom,0,3,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
104,9/12/24,1,5,"West, Charlie",Left,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,4,Bottom,0,3,1,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,
105,9/12/24,1,6,"West, Charlie",Left,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,4,Bottom,0,3,2,Fastball,FoulBallFieldable,Undefined,Undefined,Undefined,1,0,39.4
106,9/12/24,2,1,"West, Charlie",Left,UCO_HUS,"Root, Beau",Left,UCO_HUS,4,Bottom,1,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,
107,9/12/24,2,2,"West, Charlie",Left,UCO_HUS,"Root, Beau",Left,UCO_HUS,4,Bottom,1,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
108,9/12/24,2,3,"West, Charlie",Left,UCO_HUS,"Root, Beau",Left,UCO_HUS,4,Bottom,1,1,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,
109,9/12/24,2,4,"West, Charlie",Left,UCO_HUS,"Root, Beau",Left,UCO_HUS,4,Bottom,1,2,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
110,9/12/24,2,5,"West, Charlie",Left,UCO_HUS,"Root, Beau",Left,UCO_HUS,4,Bottom,1,3,1,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
111,9/12/24,2,6,"West, Charlie",Left,UCO_HUS,"Root, Beau",Left,UCO_HUS,4,Bottom,1,3,2,Fastball,InPlay,Undefined,GroundBall,Single,0,0,48.5
112,9/12/24,3,1,"West, Charlie",Left,UCO_HUS,"Lane, Connor",Right,UCO_HUS,4,Bottom,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
